0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,3,3d,3d,3d,0
0,1,1,1,1,1,1,1,1,1,3,3,3d,3d,3d,0
d01;14_03,1,1,1,1,1,1,1,1,1,1,3,3,3d,3d,0
0,1,1,1,1,1,1,1,1,1,1,3,3,3d,3,0
0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,0
0,1i,1,1,1,1,1,0,1,1,1,1,3,3,3,0
0,1,1,3,1,1,1,0,1,1,1,1,1,3,3,0
0,1,3,3,3,3,3,0,1,1,1,1,1,3,3,0
0,1,3,3d,3d,3,1,0,1,1,1,1,1,1,1,0
0,1,3,3d,3d,3,1,0,1,1,1,1,1,1,1,0
0,1,3,3d,3d,3,1,0,1,1,1,1,1,1,1,0
0,3,3,3,3,3,1,0,1,1,1,1,1,1,1,0
0,1,1,1,3,1,1,1,1,1,1,1,1,1,1,dW2;01_13
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
