0,0,0,0,0,d01;05_14,0,0,0,0,0,0,0,0,0,0
0,1,1,b,b,1,b,b,b,b,b,b,1i,b,b,0
0,1,b,b,1,1,b,b,b,b,b,b,1,b,b,0
0,1,1,b,1,1,1,b,b,b,b,1,1,b,b,0
0,b,1,b,b,b,1,b,b,b,1,1,1,b,b,0
0,b,1,b,b,b,1,b,1,1,1,1,1,b,b,0
0,1,1,b,1,1,1,b,1,1,1,b,b,b,b,0
0,1,1,1,1,b,1,b,1,1,1,1,1,1,b,0
0,b,b,b,1,1,1,b,1,b,1,b,1,1,1,0
0,b,b,b,1,b,1,b,1,b,b,b,1,1,1,0
0,b,b,b,1,1,1,b,1,b,b,b,1,b,b,0
0,b,b,b,1,1,1,b,1,b,b,1,1,b,b,0
0,b,1,1,1,1,1,1,1,1,1,1,1,b,1,0
0,1,1,b,b,b,b,b,b,b,b,1,b,1,1,0
0,1,1,1,1,b,b,b,b,b,b,1,1,1,1i,0
0,0,0,0,0,0,0,0,0,0,0,0,dA3;12_01,0,0,0
