0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
dF3;14_03,1,0,0,0,1,1,0,1i,0,1,0,1,1,1,dF1;01_03
0,0,0,1i,0,1,1,0,1,0,1,0,1,1,1,0
0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0
0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0
0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0
0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0
0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0
0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0
0,1i,1,0,1,1,1,0,1,1,1i,0,1,1,1,0
0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
