0,0,0,0,0,0,0,0,0,0,0,0,d01;05_14,0,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,b,b,b,b,1,1,1,1,1,1,1,1,1,0
0,1,1,1,b,b,1,b,1,1,1,1,1,1,1,0
0,1,1,1,b,b,1,1i,b,1,1,b,1,1,1,0
0,1,1,1,b,1,1,b,1,1,b,b,b,1,1,0
0,1,1,b,b,1,1,1,1,1,b,b,b,1,1,0
0,1,1,1,1,1,1,1,1,1,b,b,1,1,1,0
0,1,1,1,1,1,1,1,1,1,b,1,1,1,1,0
0,1,1,b,1,1,1,1,1,1,1,1,1,1,b,0
0,1,1,b,1,1,1,1,1,1,1,1,1,b,b,0
0,1,1,b,1,1,1,1,1,1,1,1,b,b,b,0
0,1,b,b,1,1,1,1,1,1,1,1,1,b,1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,b,1,0
0,0,0,0,0,dA2;05_01,0,0,0,0,0,0,0,0,0,0
