0,0,0,0,0,0,0,d06;07_14,d06;08_14,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
dF1;14_03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,dW1;01_03
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
0,1,1,1,1,1i,0,1,1,0,1i,1,1,1,1,0
0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
0,0,1,1,1,1,0,1,1,0,1,1,1,1s,0,0
0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,dA1;12_01,0,0,0,0,dE1;02_01,0,0,0,0,0
