0,0,dE2;14_14,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
0,4,4,4,4,4,4,4,4,4,4,4,4,4,4i,0
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,4,4,4,4,4,4,4,4,4,4,4,4,4i,0
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
0,4i,4,4,4,4,4,4,4,4,4,4,4,4,4,0
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
0,4,4,4,4,4,4,4,4,0,4,4,4,4,4,0
0,0,4,0,0,0,0,0,0,0,4,4,4,4k,4,0
0,4,4,4,4,4,4,4,4,0,4,4,4,4,4,0
0,4,4,4,4,4,4,4,4,4map_pay,4,4,4,4,4i,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
