0,0,dE1;02_14,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,4,4,4,4,4,4,4,1,0,4,4i,0
0,0,0,0,0,0,4,4,1,4,1,4,0,4,0,0
0,4i,0,0,0,0,0,1,1,4,1,4,0,4,0,0
0,4,0,0,0,0,0,0,1,4,1,4,0,4,1i,0
0,4,0,0,0,0,4,4,1,4,1,4,0,1,0,0
0,4,4,4,1,4,4,4,1,1,1,1,0,1,0,0
0,0,4,0,1,1,1,0,0,0,0,1,0,4,1,0
0,0,4,0,1,0,1,0,1,4i,0,1,0,1,4,0
0,0,4,0,1,0,1,0,4,4,0,1,0,0,4,0
0,0,1,0,1,0,1,0,4,4,0,1,1,1,4,0
0,0,4,0,4,0,1,4,4,1,0,1,0,1,4,0
0,1,1,0,4,0,1,0,0,0,0,1,0,4,4,0
0,1,0,0,4,4,1,1,4,4,1,1,0,4,4,0
0,1,1,0,1,4,1,1,1,4,4,4,0,4,1,0
0,0,dE3;02_01,0,0,0,0,0,0,0,0,0,0,0,0,0
