0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,3,1,3,3,0
0,1,1,1,1,1,1,1,1,1,1,3d,3d,3d,3,0
dW2;14_03,1,1,3,1,1,1,1,1,1,1,3,3d,3d,1i,0
0,1,3,1,1,1,1,1,1,1,1,3,3d,3d,3d,0
0,1,3,1,3,1,1,1,1,1,1,3,3d,3d,3d,0
0,1,3d,3,3,1,1,1,1,1,1,1,3d,3d,3d,0
0,3,3d,3,3,1,1,1,1,1,1,1,1,3d,3d,0
0,3,3d,3d,3d,3d,3,1,1,1,1,1,1,3d,3d,0
0,3d,3d,3d,3d,3d,3,3,1,1,1,1,1,1,3d,0
0,3d,3d,3d,3d,3d,3d,3d,3,1,1,1,3,3,3d,0
0,3d,3d,3d,3d,3d,3d,3d,3,3,3,1,3,3d,3d,0
0,3i,3d,3d,3d,3d,3d,3d,3d,3d,3d,3map_clark,3d,3d,3d,0
0,1k,3,3,3d,3d,3d,3d,3d,3d,3d,3,3,3,3,0
0,1,1,1,1,1,1,1,3,3,3,1,1,3,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
