b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
b,b,b,b,1,1i,1,1,1,1,1,1,b,b,b,b
b,b,b,1,1,1,1,1,1,1,1,1,1,b,b,b
b,b,b,1,1,1,1,1,1map_king_james,1,1,1,1,b,b,b
b,b,b,1,1,1,1,1,1,1,1,1,1,b,b,b
b,b,b,b,b,1,1,1,1,1,1,b,b,b,b,b
b,b,b,b,b,b,1,1,1,1,b,b,b,b,b,b
b,b,b,b,b,b,b,1,1,b,b,b,b,b,b,b
b,b,b,b,b,b,b,1,1,b,b,b,b,b,b,b
b,b,b,b,b,b,b,1,1,b,b,b,b,b,b,b
b,b,b,b,b,b,b,1,1,b,b,b,b,b,b,b
b,b,b,b,b,b,b,1,1,b,b,b,b,b,b,b
b,b,b,b,b,b,b,1,1,b,b,b,b,b,b,b
b,b,b,b,b,b,1,1,1,1,b,b,b,b,b,b
b,b,b,b,b,b,1,1,1,1,b,b,b,b,b,b
b,b,b,b,b,b,1,d06;07_01,d06;08_01,1,b,b,b,b,b,b
