0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0
dF2;14_03,1,0,1,1,0,1,1,1,1,1,1,1,1,1,d01;01_03
0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0
0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0
0,1,0,1i,1,1,1,0,0,1,1,1,0,0,1,0
0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0
0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,1,1,0,0,1,1,0,0,0,1i,0,0,0,1,0
0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
