0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,dW3;01_03
0,1,1,1,1,1,1,1,1,1,1,1,3,3,3,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,3d,0
0,1,3,3,3,3,1,1,1,1,1,1,3,3,3d,0
0,1,3,3,3d,3d,3,3,1,1,1,1,3,3d,3d,0
0,3d,3d,3d,3d,3d,3,1,1,1,1,3,3d,3d,3d,0
0,3i,3d,3d,3d,3d,3,1,1,1,3,3,3d,3d,3d,0
0,3,3,3d,3d,3,1,1,1,1,3,3,3d,3d,3d,0
0,1,3,3i,3d,3,1,1,1,3,3,3d,3d,3d,3d,0
0,1,1,3,3d,1,1,1,1,1,3,3d,3d,3d,3d,0
dW1;14_13,1,1,1,1,1,1,3,3,3,3d,3d,3d,3d,3d,0
0,1,1,1,1,1,1,3,3d,3d,3d,3d,3d,3d,3d,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
